"neg.compound.name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Trp.Ile.Lys...5.784934",0.0400764928571429,-0.709590380357143,0.117734038682768,0.9076902906989,0.999669890616597,-4.64597006613033
"DG.14.1.9Z..18.0.0.0....7.795867",0.0459669285714285,-1.51904077678571,0.117482824331636,0.907886296614457,0.999669890616597,-4.64597313094663
"C37.H62.N4.O2",-0.0367257000000001,-1.1088024875,-0.117015348940838,0.908251052994265,0.999669890616597,-4.64597881677779
"X30...2..O.2.hydroxy.ethane..3.hydroxy.propane..hopane...10.0518",0.0433645585714286,-1.92360587428571,0.11566381784581,0.909305728901171,0.999669890616597,-4.64599512812455
"X30...2..O.2.hydroxy.ethane..3.hydroxy.propane..hopane...10.197467",-0.0297034499999999,-2.44684810714286,-0.114970796744469,0.909846600207985,0.999669890616597,-4.64600341878272
"X763.5952.11.665",0.0353285428571428,0.164467444642858,0.114806150787365,0.909975105577026,0.999669890616597,-4.64600538115093
"C48.H81.N3.O3.S",-0.0439916092857143,-1.81818577125,-0.114692205414133,0.910064040893738,0.999669890616597,-4.64600673759171
"C33.H61.N3.O2...14.015733",-0.0477450642857142,-0.0990719589285714,-0.114643694259518,0.910101904629363,0.999669890616597,-4.64600731467586
"C47.H92.N2.O2.S4...16.508266",0.0261980857142858,-1.187572975,0.11408568574063,0.910537455261777,0.999669890616597,-4.64601393519002
"C50.H94.N4.O2.S2",-0.0307076928571429,-0.326311246428572,-0.113383538221163,0.911085554556634,0.999669890616597,-4.64602222008653
"C5.H5.Cl.O.S...18.830265",0.0342653500000001,-0.474351564285714,0.112198768226305,0.912010495642286,0.999669890616597,-4.6460360839976
"X820.6046.19.88427",-0.0423619107142858,-1.87721199535714,-0.111261758878485,0.912742104159471,0.999669890616597,-4.64604694583431
"PS.22.2.13Z.16Z..20.1.11Z.....19.731804",0.0328208357142857,-0.132611901785714,0.109653403169803,0.913998081932495,0.999669890616597,-4.64606537816216
"X820.6042.20.080736",-0.0426866571428572,-1.14507695535714,-0.108134651356028,0.915184302813526,0.999669890616597,-4.64608253789293
